Date,Brand,Product,Category,Key_Ingredients,Price_INR,Price_USD,Threat_Level,Direct_Competitor,Notes
2026-05-04,Beauty of Joseon,Relief Sun: Rice + Probiotics SPF 50+ PA++++,Sunscreen,"Rice, Probiotics",1334,15.98,LOW,NO,"A highly popular K-beauty sunscreen in India, known for its lightweight, non-greasy formula and no white cast, addressing a key pain point for Indian consumers."
2026-05-04,Beauty of Joseon,Revive Eye Serum Ginseng + Retinal,Eye Care,"Ginseng, Retinal",399,4.78,LOW,NO,"Targets dark circles and fine lines, aligning with the 'slow aging' philosophy and demonstrating demand for specialized eye care in the Indian market."
2026-05-04,Beauty of Joseon,Revive Serum: Ginseng + Snail Mucin,Serum,"Ginseng, Snail Mucin",,,MEDIUM,NO,"A serum from a prominent K-beauty brand in India, using mucin (though snail, not vegan) and ginseng for skin revitalization, indicating competition in the serum category."
2026-05-04,COSRX,Advanced Snail 96 Mucin Power Essence,Essence,Snail Mucin,1305,15.63,MEDIUM,NO,"A cult-favorite K-beauty essence with a high concentration of snail mucin, directly competing in the essence category, albeit at a higher price point than Joyun's essence."
2026-05-04,COSRX,The 6 Peptide Skin Booster Serum,Serum,6 Peptides,1845,22.09,MEDIUM,NO,"A multi-purpose serum focusing on peptides for elasticity and firmness, showcasing the trend of advanced peptide formulations in the K-beauty market."
2026-05-04,COSRX,Blue Peptide Bakuchiol Plump Glow serum,Serum,"Blue Peptide (Copper Tripeptide-1), 5 Multi-peptide complex, Bakuchiol",2255,27,MEDIUM,NO,"A new launch (April 30, 2026) targeting loss of firmness and elasticity, using advanced peptides and bakuchiol (a retinol alternative), indicating innovation in anti-aging serums."
2026-05-04,Anua,Peach 70% Niacinamide Serum,Serum,70% Niacinamide,2030,24.31,MEDIUM,NO,"Anua, a popular K-beauty brand expanding in India, offers a high-concentration niacinamide serum, reflecting the ingredient's popularity for brightening and barrier support."
2026-05-04,Anua,Heartleaf 77% Toner Pad,Toner Pad,Heartleaf extract,,,LOW,NO,"Represents a popular K-beauty format innovation (toner pads) for convenient application and targeted soothing/pore control, highlighting a potential format gap for Joyun."
2026-05-04,Wardah,Lift Regenerating Serum,Serum,"Exosomes, EGF, PDRN, Proxylane",,,HIGH,YES,"A Malaysian brand offering a serum with PDRN and other advanced actives like exosomes, directly competing with Joyun's PDRN serum, especially if positioned affordably."
2026-05-04,Lakmé,Sun Expert Invisible SPF 50 Sunscreen Stick,Sunscreen,UV filters,,,LOW,NO,"An Indian brand's innovation in suncare, offering a convenient, invisible stick format for easy reapplication, addressing consumer demand for non-messy SPF."
2026-05-04,Naturals by Watsons,Luv 10/10 Cica Exosome Body Cleanser,Body Care,"Cica, Exosomes",,,ADJACENT,NO,"Highlights the emerging trend of exosomes in body care and the demand for advanced ingredients in in-shower treatments, indicating a potential category expansion for Joyun."
2026-05-04,POND'S SKIN INSTITUTE,Bright Beauty Gel Crème with Niasorcinol™,Cream,Niasorcinol™ (Niacinamide + Vitamin C),,,LOW,NO,"A major Indian brand focusing on skin barrier health and brightening with a proprietary ingredient blend, reflecting broad market trends."
2026-05-04,Dr. Jart+,Probiotic Barrier Repair Cream,Cream,Fermented lysates (Postbiotics),,,ADJACENT,NO,"An example of a premium K-beauty brand leveraging postbiotics for skin barrier repair and microbiome balance, indicating the importance of this trend."
2026-05-04,Eminence Organic Skin Care,Ashwagandha Ultra-Rich Restorative Cream,Cream,"Ashwagandha, Reishi Mushroom",4676,56,ADJACENT,NO,"Showcases the growing trend of adaptogens and mushroom extracts (reishi) for anti-aging, hydration, and barrier support in the premium segment."
